"method","result_type","c_value_set","confusion matrix","encounter error rate","encounter number error","event F-score","event precision","event recall","gmm_mix_set","label event","number of label","number of matching event","number of prediction","pred event","segment F-score","segment precision","segment recall","threshold_averagestep_set","threshold_set","total matching iou"
"crnn8","threshold_result",NA,"[[7.96414e+05 1.58900e+03]
 [7.87000e+02 7.61000e+03]]","0.01776103336921421","33","0.8850360096025607","0.8773135906927552","0.8928955866523143",NA,NA,"1858","1659.0","1891",NA,"0.8649693112070925","0.9062760509705847","0.8272638330253288",NA,"[0.7, 0.5, 0.4, 0.4]","1403.2851370851372"
"lenet","average_result",NA,"[[795873.   2468.]
 [  1328.   6731.]]","0.4892357373519914","909","0.7225945945945946","0.6039031441994941","0.8993541442411195",NA,"[1 1 0 ... 1 1 1]","1858","1671.0","2767","[0 0 0 ... 0 0 0]","0.7800440375478039","0.8352152872564834","0.7317099684748343",NA,NA,"1166.7520923520922"
"lenet","hmm_bino_result",NA,"[[7.96444e+05 2.36900e+03]
 [7.57000e+02 6.83000e+03]]","0.1781485468245425","331","0.8738552437223043","0.9685658153241651","0.7960172228202368",NA,"[1 0 0 ... 1 1 1]","1858","1479.0","1527","[1 1 1 ... 1 1 1]","0.8137733825807221","0.900224067483854","0.7424720078269377",NA,NA,"1203.4533255143544"
"lenet","hmm_bino_threshold_result",NA,"[[796200.   2207.]
 [  1001.   6992.]]","0.14908503767491926","277","0.8735097412038383","0.9500316255534472","0.8083961248654468",NA,"[1 0 0 ... 1 1 1]","1858","1502.0","1581","[1 1 1 ... 1 1 1]","0.8134015821312238","0.8747654197422745","0.7600826176758343",NA,NA,"1220.0461321315424"
"lenet","hmm_gmm_result",NA,"[[792744.   1357.]
 [  4457.   7842.]]","0.015069967707212056","28","0.8584598698481561","0.8650273224043716","0.8519913885898815",NA,"[1 1 0 ... 1 1 1]","1858","1583.0","1830","[0 1 1 ... 1 1 0]","0.7295562377895618","0.6376128140499228","0.8524839656484401",NA,NA,"1218.923184234763"
"lenet","nn_result",NA,"[[796247.   2683.]
 [   954.   6516.]]","0.3589881593110872","667","0.7510837326032398","0.6518811881188119","0.8858988159311088",NA,"[1 1 0 ... 1 1 1]","1858","1646.0","2525","[0 0 1 ... 0 0 0]","0.7818105465234867","0.8722891566265061","0.7083378628111752",NA,NA,"1128.7433621933621"
"lenet","threshold_result",NA,"[[795873.   2468.]
 [  1328.   6731.]]","0.4892357373519914","909","0.7225945945945946","0.6039031441994941","0.8993541442411195",NA,"[1 1 0 ... 1 1 1]","1858","1671.0","2767","[0 0 0 ... 0 0 0]","0.7800440375478039","0.8352152872564834","0.7317099684748343",NA,NA,"1166.7520923520922"
"svm","hmm_bino_result",NA,"[[795875.   5249.]
 [  1326.   3950.]]","0.39289558665231433","730","0.652377762893503","0.8634751773049646","0.5242195909580194",NA,"[0 0 0 ... 0 0 0]","1858","974.0","1128","[0 1 1 ... 1 1 1]","0.5457685664939551","0.7486732373009856","0.42939449940210894",NA,NA,"695.2132672882672"
"svm","svm_result","[10.0, 100.0, 10.0, 10.0]","[[795838.   5692.]
 [  1363.   3507.]]","0.5134553283100107","954","0.5370449678800856","0.44594594594594594","0.6749192680301399",NA,"[0 0 1 ... 0 0 0]","1858","1254.0","2812","[0 0 0 ... 0 0 0]","0.49854289572819677","0.7201232032854209","0.3812370909881509",NA,NA,"563.6695526695526"
"vgg","average_result",NA,"[[795824.   2542.]
 [  1377.   6657.]]","0.5376749192680301","999","0.7075291622481442","0.583829191459573","0.8977395048439182",NA,NA,"1858","1668.0","2857",NA,"0.7725874775140719","0.828603435399552","0.7236656158278074","[(0.4, 1), (0.5, 1), (0.5, 1), (0.5, 1)]",NA,"1162.3866161616156"
"vgg","hmm_bino_result",NA,"[[796355.   2356.]
 [   846.   6843.]]","0.15177610333692143","282","0.8683750728013978","0.9460659898477157","0.802475780409042",NA,NA,"1858","1491.0","1576",NA,"0.8103979156797726","0.8899726882559501","0.7438852049135776",NA,NA,"1217.2106311172483"
"vgg","hmm_bino_threshold_result",NA,"[[796312.   2320.]
 [   889.   6879.]]","0.14531754574811626","270","0.8699941961694718","0.9439546599496221","0.8067814854682455",NA,NA,"1858","1499.0","1588",NA,"0.810868155831909","0.8855561277033985","0.7477986737688879",NA,NA,"1222.4609974176146"
"vgg","hmm_gmm_result",NA,"[[793177.   1472.]
 [  4024.   7727.]]","0.004305705059203444","8","0.8543689320388349","0.8562162162162162","0.852529601722282","[16, 16, 16, 16]",NA,"1858","1584.0","1850",NA,"0.7376610978520286","0.6575610586333078","0.8399826068050875",NA,NA,"1246.959321521272"
"vgg","nn_result",NA,"[[795890.   2583.]
 [  1311.   6616.]]","0.5080731969860065","944","0.711587982832618","0.5917201998572448","0.8923573735199138",NA,NA,"1858","1658.0","2802",NA,"0.7726264159757095","0.8346158698120348","0.7192086096314817",NA,NA,"1156.1366161616156"
"vgg","threshold_result",NA,"[[795824.   2542.]
 [  1377.   6657.]]","0.5376749192680301","999","0.7075291622481442","0.583829191459573","0.8977395048439182",NA,NA,"1858","1668.0","2857",NA,"0.7725874775140719","0.828603435399552","0.7236656158278074",NA,"[0.4, 0.5, 0.5, 0.5]","1162.3866161616156"
